date,denomination,value
2020-09-01,note_5,2543.6
2020-10-01,note_5,2525.4
2020-11-01,note_5,2511.4
2020-12-01,note_5,2517.5419375
2021-01-01,note_5,2753.876475
2021-02-01,note_5,2732.4145775
2021-03-01,note_5,2691.967875
2021-04-01,note_5,2898.37506
2021-05-01,note_5,2894.997075
2021-06-01,note_5,2848.26866
2021-07-01,note_5,2808.536295
2021-08-01,note_5,2776.11333
2021-09-01,note_5,2748.2739975
2021-10-01,note_5,2734.5997
2021-11-01,note_5,2727.0057325
2021-12-01,note_5,2821.61233
2022-01-01,note_5,2997.88893
2022-02-01,note_5,2967.83837
2022-03-01,note_5,3003.223285
2022-04-01,note_5,3184.461155
2022-05-01,note_5,3179.3609325
2022-06-01,note_5,3123.77415
2022-07-01,note_5,3058.8396225
2022-08-01,note_5,2991.1551975
2022-09-01,note_5,2944.0221075
2022-10-01,note_5,2915.8404125
2022-11-01,note_5,2881.195025
2022-12-01,note_5,3049.7045
2023-01-01,note_5,3162.0804175
2023-02-01,note_5,3095.407685
2023-03-01,note_5,3327.856805
2023-04-01,note_5,3437.0215875
2023-05-01,note_5,3357.11783
2023-06-01,note_5,3249.0655975
2023-07-01,note_5,3128.4024525
2023-08-01,note_5,3004.6177125
2023-09-01,note_5,2952.8209825
2023-10-01,note_5,2918.20541
2023-11-01,note_5,2889.9601575
2023-12-01,note_5,2966.715245
2024-01-01,note_5,3196.58787
2024-02-01,note_5,3136.1369075
2024-03-01,note_5,3486.03338
2024-04-01,note_5,3484.1405425
2024-05-01,note_5,3366.87739
2024-06-01,note_5,3279.02083
2024-07-01,note_5,3195.443485
2024-08-01,note_5,3143.1840475
2020-01-01,note_10,6907.0
2020-02-01,note_10,6447.0
2020-03-01,note_10,6375.8
2020-04-01,note_10,6646.8
2020-05-01,note_10,6701.3
2020-06-01,note_10,6477.8
2020-07-01,note_10,6437.9
2020-08-01,note_10,6380.7
2020-09-01,note_10,6331.2
2020-10-01,note_10,6345.6
2020-11-01,note_10,6269.7
2020-12-01,note_10,6329.534185
2021-01-01,note_10,7286.650415
2021-02-01,note_10,7123.35543
2021-03-01,note_10,6893.192205
2021-04-01,note_10,7248.58671
2021-05-01,note_10,7099.50651
2021-06-01,note_10,6846.29798
2021-07-01,note_10,6776.52114
2021-08-01,note_10,6723.578235
2021-09-01,note_10,6697.01523
2021-10-01,note_10,6708.285375
2021-11-01,note_10,6691.83206
2021-12-01,note_10,6997.022465
2022-01-01,note_10,7667.44901
2022-02-01,note_10,7404.96555
2022-03-01,note_10,7377.25925
2022-04-01,note_10,7810.064915
2022-05-01,note_10,7640.560155
2022-06-01,note_10,7341.388415
2022-07-01,note_10,7200.5891
2022-08-01,note_10,7095.97118
2022-09-01,note_10,7035.35796
2022-10-01,note_10,7023.750095
2022-11-01,note_10,7006.460815
2022-12-01,note_10,7770.010525
2023-01-01,note_10,8115.95881
2023-02-01,note_10,7753.820635
2023-03-01,note_10,8131.75874
2023-04-01,note_10,8289.401635
2023-05-01,note_10,7748.897005
2023-06-01,note_10,7529.41836
2023-07-01,note_10,7333.54532
2023-08-01,note_10,7210.06102
2023-09-01,note_10,7174.920425
2023-10-01,note_10,7136.48343
2023-11-01,note_10,7106.64855
2023-12-01,note_10,7449.423375
2024-01-01,note_10,8302.65177
2024-02-01,note_10,8109.682735
2024-03-01,note_10,8491.70266
2024-04-01,note_10,8187.651815
2024-05-01,note_10,7830.93608
2024-06-01,note_10,7706.788315
2024-07-01,note_10,7548.51475
2024-08-01,note_10,7487.16185
2020-01-01,note_20,3357.2
2020-02-01,note_20,3211.6
2020-03-01,note_20,3288.7
2020-04-01,note_20,3383.3
2020-05-01,note_20,3578.9
2020-06-01,note_20,3435.4
2020-07-01,note_20,3477.3
2020-08-01,note_20,3460.5
2020-09-01,note_20,3410.5
2020-10-01,note_20,3465.3
2020-11-01,note_20,3430.1
2020-12-01,note_20,3506.1364
2021-01-01,note_20,3765.2142
2021-02-01,note_20,3795.36636
2021-03-01,note_20,3764.46093
2021-04-01,note_20,3928.7007
2021-05-01,note_20,3909.10911
2021-06-01,note_20,3739.73201
2021-07-01,note_20,3756.17817
2021-08-01,note_20,3761.69222
2021-09-01,note_20,3777.97089
2021-10-01,note_20,3842.17164
2021-11-01,note_20,3854.75403
2021-12-01,note_20,3948.75171
2022-01-01,note_20,4161.67144
2022-02-01,note_20,3979.95635
2022-03-01,note_20,3955.56584
2022-04-01,note_20,4346.10289
2022-05-01,note_20,4212.00448
2022-06-01,note_20,4064.03972
2022-07-01,note_20,3992.5679
2022-08-01,note_20,3937.19959
2022-09-01,note_20,3872.64855
2022-10-01,note_20,3853.13291
2022-11-01,note_20,3801.69097
2022-12-01,note_20,3938.52526
2023-01-01,note_20,4108.11204
2023-02-01,note_20,3883.90496
2023-03-01,note_20,3952.74668
2023-04-01,note_20,4151.24711
2023-05-01,note_20,3901.84747
2023-06-01,note_20,3863.2806
2023-07-01,note_20,3800.28187
2023-08-01,note_20,3768.30614
2023-09-01,note_20,3802.20631
2023-10-01,note_20,3807.21869
2023-11-01,note_20,3812.03863
2023-12-01,note_20,3960.22291
2024-01-01,note_20,4126.80526
2024-02-01,note_20,4076.71577
2024-03-01,note_20,4280.04983
2024-04-01,note_20,4271.6776
2024-05-01,note_20,4149.07097
2024-06-01,note_20,4166.23755
2024-07-01,note_20,4126.42479
2024-08-01,note_20,4125.40543
2020-01-01,note_50,49179.5
2020-02-01,note_50,46970.3
2020-03-01,note_50,47937.4
2020-04-01,note_50,50847.9
2020-05-01,note_50,54430.8
2020-06-01,note_50,52757.8
2020-07-01,note_50,54049.4
2020-08-01,note_50,53312.6
2020-09-01,note_50,52604.6
2020-10-01,note_50,53931.3
2020-11-01,note_50,54154.8
2020-12-01,note_50,56027.747425
2021-01-01,note_50,61017.682975
2021-02-01,note_50,62524.219875
2021-03-01,note_50,63501.245425
2021-04-01,note_50,65557.5046
2021-05-01,note_50,66160.1593
2021-06-01,note_50,65362.572
2021-07-01,note_50,66535.27805
2021-08-01,note_50,67528.902925
2021-09-01,note_50,68567.81265
2021-10-01,note_50,69390.046025
2021-11-01,note_50,69055.268275
2021-12-01,note_50,70550.155125
2022-01-01,note_50,72883.797725
2022-02-01,note_50,70169.5812
2022-03-01,note_50,69735.686725
2022-04-01,note_50,78008.8334
2022-05-01,note_50,74151.031725
2022-06-01,note_50,72526.793825
2022-07-01,note_50,71209.298925
2022-08-01,note_50,70650.00215
2022-09-01,note_50,69954.733025
2022-10-01,note_50,69939.5144
2022-11-01,note_50,69677.643325
2022-12-01,note_50,71074.59975
2023-01-01,note_50,72679.8847
2023-02-01,note_50,68584.9783
2023-03-01,note_50,69031.57565
2023-04-01,note_50,71599.928525
2023-05-01,note_50,67469.1893
2023-06-01,note_50,67954.151275
2023-07-01,note_50,66806.8621
2023-08-01,note_50,66476.65415
2023-09-01,note_50,66598.600825
2023-10-01,note_50,66344.389775
2023-11-01,note_50,66189.390775
2023-12-01,note_50,67668.02185
2024-01-01,note_50,69037.047
2024-02-01,note_50,69442.71655
2024-03-01,note_50,69586.5102
2024-04-01,note_50,68237.70795
2024-05-01,note_50,67839.466475
2024-06-01,note_50,68208.4802
